"dorsal_fin_number","dorsal_fin_percentage","adipos_fin_number","adipos_fin_percentage","caudal_fin_number","caudal_fin_percentage","anal_fin_number","anal_fin_percentage","pelvic_fin_number","pelvic_fin_percentage","pectoral_fin_number","pectoral_fin_percentage","head_number","head_percentage","eye_number","eye_percentage","caudal_fin_ray_number","caudal_fin_ray_percentage","alt_fin_ray_number","alt_fin_ray_percentage","trunk_number","trunk_percentage","file_name"
1,1,0,0,1,1,1,1,2,0.64571743597454,1,1,1,1,1,1,0,0,0,0,2,0.980145274493623,"INHS_FISH_54320"
1,1,2,0.529911624745071,1,1,0,0,2,0.687694305615678,1,1,1,1,1,1,0,0,0,0,2,0.991856505859008,"INHS_FISH_5553"
1,1,1,1,1,1,1,1,2,0.994851994851995,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_5569"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.981042642085687,"INHS_FISH_55734"
1,1,0,0,2,0.999629198465054,1,1,1,1,2,0.871792742672092,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_55761"
1,1,0,0,1,1,2,0.955869308101715,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_55788"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_55841"
1,1,3,0.928659286592866,1,1,0,0,2,0.700240818783865,1,1,1,1,1,1,0,0,0,0,2,0.986293241124672,"INHS_FISH_5622"
1,1,0,0,1,1,1,1,2,0.828389034923019,1,1,1,1,1,1,0,0,0,0,2,0.990851192307254,"INHS_FISH_56360"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_5672"
1,1,0,0,1,1,1,1,2,0.693082946635731,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_56846"
1,1,0,0,3,0.988083280843023,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_57044"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_57047"
1,1,2,0.99752020573108,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_5716"
1,1,0,0,1,1,1,1,2,0.928883548175661,1,1,1,1,1,1,0,0,0,0,2,0.985897953875019,"INHS_FISH_57605"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_57626"
