"base_name","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta"
"INHS_FISH_109207",1879,1878.07,428,427.57,104,107.7,145,144.01,233,13900,87673,0,0.49,NA,"None",-1.71
"INHS_FISH_109244",1282,1281,313,313.64,77,77.23,99,99.14,164,7341,44711,0,0,394.562,"cm",-9.57
"INHS_FISH_109884",1791,1790.7,393,392.93,98,107.84,134,133.03,111,12326,61316,0,-1.6,393.936,"cm",-2.59
"INHS_FISH_109975",1798,1797,394,396.43,101,102.26,123,122.2,218,10829,74844,0,0.06,NA,"None",-1.87
"INHS_FISH_11806",1506,1505.15,345,344.21,97,99.46,111,110.02,192,8729,56002,-0.01,0.8,393.861,"cm",1.28
"INHS_FISH_11858",1877,1876.03,468,467.15,136,138.85,146,145.03,256,13552,95325,0,0.31,395.61,"cm",7.13
"INHS_FISH_11869",1626,1625.01,378,378.27,105,110.37,133,132.38,212,12129,67349,0,-0.18,393.85,"cm",9.29
"INHS_FISH_11891",1624,1623.14,359,358.74,89,96.77,124,123.26,206,10242,65101,0,-0.74,393.958,"cm",3.2
"INHS_FISH_12657",1696,1695.3,403,402,85,96.65,115,114.16,219,9735,81133,0,-1.08,394.974,"cm",-2.19
"INHS_FISH_1420",1459,1458.09,350,349.02,78,84.31,121,120.34,188,8790,57278,0,-0.63,394.605,"cm",0.75
"INHS_FISH_1475",1700,1699.2,400,403.79,104,105.55,125,125.03,213,11468,72672,0,0.88,397.535,"cm",2.08
"INHS_FISH_17758",1434,1433.11,322,321.62,81,82.98,98,99.46,178,7677,50701,0,-0.72,395.249,"cm",-3.83
"INHS_FISH_17803",1690,1689.52,365,367.7,87,90.8,125,124.26,202,11308,62217,0,1.42,394.883,"cm",1.06
"INHS_FISH_22941",1505,1504.21,371,373.23,98,98.62,96,95.19,204,5935,62227,0,0.95,394.101,"cm",-1.05
"INHS_FISH_26980",1068,1067,249,250.89,53,53.6,77,76,136,4359,30365,0,-0.11,395.06,"cm",5.98
